"Temperature","pH","WSD","SD","subunit"
"25",2,17327502.7660881,13763726.2739765,"alpha"
"30",2,16717208.3579383,13269531.4494564,"alpha"
"35",2,15483271.0647568,12295096.40411,"alpha"
"40",2,14500332.342598,11524740.4219973,"alpha"
"45",2,13422829.7787644,10684393.4464098,"alpha"
"50",2,12893817.0824354,10254499.5733136,"alpha"
"55",2,12212357.5857283,9733453.44884741,"alpha"
"60",2,11812599.9916154,9418764.37658904,"alpha"
"65",2,11504962.013305,9219237.61084918,"alpha"
"70",2,11101645.2883152,8887854.93307477,"alpha"
"75",2,10664379.1115872,8552767.55104169,"alpha"
"80",2,10264683.0212608,8251871.82607609,"alpha"
"85",2,9545987.69095861,7709115.19229828,"alpha"
"90",2,8789182.93299017,7118569.07764762,"alpha"
"25",4,8658605.33363792,7001350.21252437,"alpha"
"30",4,8071464.43047933,6528384.57263065,"alpha"
"35",4,7534112.25063627,6124134.84580853,"alpha"
"40",4,6626446.12688614,5381091.50913115,"alpha"
"45",4,5680070.55250635,4625393.53589087,"alpha"
"50",4,4486458.72674321,3688441.49829431,"alpha"
"55",4,5047823.00051304,4102010.30049169,"alpha"
"60",4,4172583.61023589,3415010.06621807,"alpha"
"65",4,3237047.46579142,2687521.91787228,"alpha"
"70",4,2020902.81184766,1754584.03453298,"alpha"
"75",4,2009317.11846071,1834175.49131688,"alpha"
"80",4,1952596.65095725,1733100.38605638,"alpha"
"85",4,1926892.22697588,1655595.41669035,"alpha"
"90",4,2036552.25396201,1673366.66114358,"alpha"
"25",7,639754.642142386,509672.402709274,"alpha"
"30",7,504427.280627683,403328.492407357,"alpha"
"35",7,460200.931616168,364674.59388732,"alpha"
"40",7,418876.988148164,333002.418015155,"alpha"
"45",7,396949.367381309,318068.671963288,"alpha"
"50",7,342007.224188636,273350.748191003,"alpha"
"55",7,287280.842919051,234060.157209727,"alpha"
"60",7,250649.222965261,203606.039979465,"alpha"
"65",7,187603.272494135,163379.91045888,"alpha"
"70",7,133028.477967328,143959.585256639,"alpha"
"75",7,0,0,"alpha"
"80",7,120041.037909882,113431.61593653,"alpha"
"85",7,185389.038381855,171734.052032259,"alpha"
"90",7,353246.620667978,283704.304270689,"alpha"
