"Temperature","pH","WSD","SD","subunit"
"25",2,3336264.59493496,2731856.70002283,"beta"
"30",2,3208646.83823415,2599929.53168852,"beta"
"35",2,3001366.07572445,2439177.99969164,"beta"
"40",2,2614252.28500448,2163979.228552,"beta"
"45",2,2318764.82781673,1960651.90919236,"beta"
"50",2,2123735.02023766,1789800.5880912,"beta"
"55",2,2183329.50228848,1940198.33681729,"beta"
"60",2,2039081.64102678,1726974.29227558,"beta"
"65",2,2049964.04061418,1806756.18037382,"beta"
"70",2,1973705.40125064,1781073.49786182,"beta"
"75",2,1846735.74431586,1618451.75176522,"beta"
"80",2,1917854.69378615,1760139.09060348,"beta"
"85",2,1690091.25291862,1470307.43416358,"beta"
"90",2,1564234.31742963,1310950.99753153,"beta"
"25",4,4503253.84846901,3572358.46468868,"beta"
"30",4,4340798.81052358,3439272.9683648,"beta"
"35",4,4381475.64993724,3459183.98957388,"beta"
"40",4,4249235.44264087,3371811.56398464,"beta"
"45",4,4292760.25596058,3401203.06062959,"beta"
"50",4,4187125.47891153,3334905.3596548,"beta"
"55",4,4025216.53212065,3204597.88823407,"beta"
"60",4,3919719.43456742,3122852.27856834,"beta"
"65",4,3740950.55421187,2970348.82074901,"beta"
"70",4,3622468.80568822,2876025.2604667,"beta"
"75",4,3562488.47610112,2836817.28123001,"beta"
"80",4,3582113.9206624,2851141.92602022,"beta"
"85",4,3432340.32538888,2730948.48915682,"beta"
"90",4,3119562.94712263,2483992.86700263,"beta"
"25",7,400171.51200522,321057.042221309,"beta"
"30",7,411866.410516396,338172.908652738,"beta"
"35",7,314125.782529801,255230.82533505,"beta"
"40",7,318623.822783719,282989.304663109,"beta"
"45",7,265553.670164114,219272.866982781,"beta"
"50",7,249539.096296265,212580.696698996,"beta"
"55",7,181932.376699881,177725.519779725,"beta"
"60",7,293577.926786776,266028.478088571,"beta"
"65",7,166561.60336088,150892.932831351,"beta"
"70",7,114368.470156231,117935.307729856,"beta"
"75",7,0,0,"beta"
"80",7,156082.209109392,158510.342723415,"beta"
"85",7,235096.511260985,202332.647264268,"beta"
"90",7,213885.97323213,182170.521589179,"beta"
