"Temperature","pH","WSD","SD","subunit"
"25",2,4069598.8702143,3307552.17943431,"betacoh"
"30",2,4581047.33260121,3739338.6916678,"betacoh"
"35",2,4740081.1675665,3796603.29909858,"betacoh"
"40",2,4914920.37187945,4021891.60643686,"betacoh"
"45",2,5082676.49960006,4058987.4600539,"betacoh"
"50",2,5239543.21067757,4161324.07929576,"betacoh"
"55",2,5128608.02042589,4064590.87356999,"betacoh"
"60",2,5250203.21526116,4212463.1768549,"betacoh"
"65",2,5442674.04849972,4293539.48136086,"betacoh"
"70",2,5406835.36542403,4253329.65298666,"betacoh"
"75",2,5619281.89998326,4473611.25024758,"betacoh"
"80",2,5778780.23207313,4575610.36024362,"betacoh"
"85",2,6027719.51610126,4740261.16164279,"betacoh"
"90",2,6221858.10894132,4907957.80704888,"betacoh"
"25",4,1122753.76581625,938635.11652037,"betacoh"
"30",4,1199589.82257246,937320.459451157,"betacoh"
"35",4,1300222.83552938,1137125.57366796,"betacoh"
"40",4,889729.155995661,855121.147144793,"betacoh"
"45",4,1031632.50495205,1106039.80002272,"betacoh"
"50",4,620219.789737905,617379.940695468,"betacoh"
"55",4,746672.275806941,837506.684655677,"betacoh"
"60",4,614325.851646207,755619.99436146,"betacoh"
"65",4,487372.101514858,682611.405143415,"betacoh"
"70",4,519404.121894269,567931.297904966,"betacoh"
"75",4,688164.905626524,669067.953162477,"betacoh"
"80",4,548570.696294064,558485.95416513,"betacoh"
"85",4,987823.892547266,901944.557487814,"betacoh"
"90",4,9080098.67323934,7112185.4113742,"betacoh"
"25",7,1380468.30649172,1218778.75273817,"betacoh"
"30",7,1365948.03787399,1401223.32110671,"betacoh"
"35",7,1338997.1747755,1241280.9900312,"betacoh"
"40",7,1101104.47028578,916781.138811817,"betacoh"
"45",7,760413.033775784,655626.354934727,"betacoh"
"50",7,719445.655137886,780460.963491642,"betacoh"
"55",7,581382.388552867,531934.779686043,"betacoh"
"60",7,636939.587829232,590231.970910027,"betacoh"
"65",7,657402.782603876,933584.85172396,"betacoh"
"70",7,528007.466686764,608697.540847772,"betacoh"
"75",7,0,0,"betacoh"
"80",7,502912.985739405,440538.085773562,"betacoh"
"85",7,653536.444094094,680008.008784554,"betacoh"
"90",7,624630.05114834,570187.257934592,"betacoh"
