WL,MEA25,MEA30,MEA35,MEA40,MEA45,MEA50,MEA55,MEA60,MEA65,MEA70,MEA75,MEA80,MEA85,MEA90
250,-52876.35997,-120471.4995,-135604.2199,-109050.5147,-172648.5384,-93428.03064,-212859.1059,-206009.1817,-142793.0582,-159643.8319,-99109.16911,12973.28279,-9461.950351,-28953.9649
249.9,-48953.67386,-122052.236,-134224.8816,-108643.3402,-170405.0986,-88020.72993,-218112.9699,-204220.0818,-146018.0152,-164386.8372,-97296.98405,6488.183723,-9594.491011,-25175.56104
249.8,-45505.6266,-122951.7612,-131334.6594,-107072.5543,-169017.2029,-83060.20667,-223649.4281,-202785.2197,-151573.1804,-172430.6224,-95456.93759,-985.0616881,-8692.836404,-22422.25769
249.7,-43769.86138,-124293.6856,-129668.7467,-103389.2772,-167578.7586,-79641.21487,-228479.4008,-199672.7033,-155469.9952,-182395.2521,-96719.65604,-7677.20877,-7957.61386,-16534.10902
249.6,-43494.23253,-125198.7831,-131250.4782,-101849.7358,-164548.2343,-76384.41622,-234541.2454,-195705.2399,-159338.3516,-190577.1503,-98142.97556,-16179.19458,-7677.686394,-13155.91427
249.5,-46682.17372,-126155.2251,-133346.0535,-98985.78291,-161431.3397,-75261.80081,-239582.1687,-186612.473,-162846.8979,-197745.2915,-100931.3047,-25591.29293,-10631.43262,-14303.12731
249.4,-51892.65354,-128292.1945,-133758.6012,-96045.01214,-155426.412,-76056.04972,-245184.3002,-176260.9679,-164523.5571,-204645.9632,-105046.2344,-34870.5322,-13837.0857,-15774.16943
249.3,-59826.78422,-130602.1036,-138365.2847,-93118.96811,-150368.9709,-75597.72969,-249777.451,-166036.0331,-165979.1162,-210216.2531,-109588.8367,-44883.32233,-19506.62188,-21723.73259
249.2,-70782.28472,-133447.3496,-145748.9537,-91138.42059,-146284.4896,-79562.60592,-255323.8597,-157345.6644,-165981.5044,-215490.0181,-114906.5829,-54099.27642,-27074.91248,-26434.29929
249.1,-83189.36416,-137182.5683,-155828.2132,-89147.92257,-144485.2402,-83097.42154,-258151.7918,-146691.067,-165832.8439,-220797.6148,-119918.8488,-63032.83532,-37701.25044,-34816.60049
249,-98612.83817,-139524.1199,-165577.3151,-89959.48535,-145281.2802,-83971.67247,-259166.7428,-137995.3251,-166624.5057,-224357.9037,-125570.1357,-72889.20359,-50585.35685,-43998.72288
248.9,-114045.2676,-140836.1928,-175713.8894,-92262.62808,-145162.4712,-83819.0318,-260410.5553,-128156.4697,-166253.9491,-228559.0048,-132604.7412,-81244.63844,-64048.98038,-55291.74434
248.8,-131150.9732,-144881.0711,-187926.3371,-96163.42309,-144595.8898,-84524.72126,-261142.9121,-118635.4333,-165075.8099,-230923.2436,-138658.6254,-88387.30635,-74014.60514,-71473.84447
248.7,-150105.4816,-150635.2462,-201035.9218,-101756.5991,-144407.6263,-84044.11211,-260892.1595,-107617.4436,-164200.5639,-231934.2144,-142551.062,-94349.64595,-82332.02908,-85159.36415
248.6,-168788.1424,-158275.8372,-215704.9489,-106925.6849,-142162.1965,-83417.42962,-263658.3985,-92798.56201,-165142.0802,-233697.443,-148645.9423,-95929.38733,-88180.73397,-98656.22235
248.5,-188081.7639,-170802.9196,-226336.0631,-115740.6338,-139724.125,-84280.93401,-265505.2113,-78339.88848,-166814.1622,-235844.7609,-154889.085,-95272.45532,-92684.33027,-104858.767
248.4,-203392.2002,-187406.921,-236672.6425,-130263.9856,-136398.6679,-88214.96369,-268359.0147,-63226.47205,-170943.8187,-238471.6929,-160332.2075,-95103.89385,-98413.03213,-108134.8696
248.3,-216749.7514,-208299.7868,-249488.8865,-148457.2808,-134053.733,-97111.50673,-269425.7083,-47101.88581,-179092.0842,-243952.4283,-167509.1051,-98240.88848,-101186.2365,-111817.9477
248.2,-227173.8952,-230835.6792,-262390.7048,-168524.0561,-131858.4537,-108342.4371,-270974.0061,-30338.47747,-188762.1791,-247447.0439,-173353.6308,-101166.7335,-104258.1548,-114914.5433
248.1,-233960.1362,-249194.3517,-271853.6303,-189802.6033,-135224.7079,-118835.2393,-271015.7982,-18375.96647,-202003.1104,-253552.6707,-178807.3008,-105216.388,-106470.151,-122374.8312
248,-237852.7718,-263521.0816,-279248.8419,-211907.8381,-141170.1316,-129092.2147,-270132.1938,-12889.47968,-214385.5126,-258305.0295,-181761.0073,-108830.8076,-110938.7215,-127945.3201
247.9,-237974.1679,-275845.7709,-286297.7761,-234360.1463,-149175.1099,-140372.4995,-270900.3724,-10025.92479,-223263.3487,-264167.8641,-185059.001,-109604.3595,-113196.49,-130800.9146
247.8,-234748.2158,-288496.8366,-296865.2071,-255966.662,-161535.2229,-147392.3783,-272142.1948,-11792.37735,-233002.8981,-270470.5108,-188529.1384,-110058.3013,-111348.4831,-131658.0507
247.7,-228933.1436,-297165.7122,-304059.4186,-274514.394,-175861.5548,-152652.2126,-273939.2551,-14946.82516,-242997.1803,-276156.2265,-190474.0631,-113248.8296,-106857.4245,-126746.2848
247.6,-220212.5254,-301506.1203,-306029.6176,-287941.5987,-194177.8382,-156282.752,-276820.9199,-19044.87888,-252887.9773,-284072.8443,-192922.8811,-112394.6787,-103292.3593,-120715.8838
247.5,-211468.026,-302491.2198,-305490.3005,-298526.9406,-213129.7595,-158818.1394,-280295.6345,-26830.72721,-264810.6664,-291605.3728,-193619.2171,-110116.6112,-99532.26437,-119876.6587
247.4,-199589.1191,-301667.3184,-305356.9638,-306562.9644,-233205.8883,-163523.9299,-284247.9731,-39521.59491,-278464.7425,-301346.9123,-196604.3671,-109756.8011,-96794.08578,-120090.7934
247.3,-189815.141,-300546.8921,-305516.1718,-310897.4022,-251934.7194,-171767.7201,-289979.4611,-52793.96983,-288829.1833,-311540.2045,-201804.1004,-110304.8747,-96032.67352,-120097.5598
247.2,-180314.0056,-296616.4446,-305854.4888,-315723.3947,-271334.2142,-180197.7837,-297201.534,-68344.61123,-297915.9799,-316702.5239,-205352.4487,-113975.0171,-96343.72615,-124268.6103
247.1,-171751.6003,-290542.6594,-302626.5466,-313643.7402,-292827.2942,-191571.8022,-304222.6068,-83930.67641,-303872.3492,-320891.6844,-211545.6399,-117922.7785,-102011.531,-131313.1663
247,-163919.9598,-282763.3585,-299607.5649,-311900.4126,-311908.373,-204904.6762,-312322.3138,-108794.1898,-307488.3609,-324931.5874,-220564.7731,-124211.8925,-110584.8818,-140959.7781
246.9,-160152.1034,-273795.9679,-301838.467,-310919.2933,-332750.6903,-218640.3464,-318091.6137,-137550.3387,-307502.2916,-328824.223,-229633.6588,-133902.2864,-124688.5214,-155651.2933
