WL,A25ME,A30ME,A35ME,A40ME,A45ME,A50ME,A55ME,A60ME,A65ME,A70ME,A75MEREF,A80ME,A85ME,A90ME
250,94020.48341,133346.4515,111511.2733,108225.2202,83930.87542,95977.34874,95771.17438,105898.9923,72792.08671,114672.5472,155547.6091,185236.3189,207718.6776,188369.7313
249.9,95075.0374,128886.2394,112971.0117,107558.5367,86233.0231,94106.25672,94904.88385,108392.1896,74793.53028,117675.6081,156737.2909,181191.8387,208313.7175,187474.1863
249.8,95694.95355,123685.113,114865.5869,107610.2793,88543.33019,91638.33371,92747.61545,110470.252,77177.47107,121197.289,158006.7756,176850.2365,207818.1826,186437.7423
249.7,96290.9885,118368.1629,116474.5827,107299.4257,90194.51616,88437.85489,91191.55626,110935.7364,79253.54339,124572.6976,159873.8875,172890.7335,206435.0631,185510.9527
249.6,97299.77019,113022.9533,117444.5574,107043.8968,91374.64546,85211.10675,88486.41333,110772.3492,80957.06899,127474.0644,161621.7923,168163.45,204363.369,184602.074
249.5,98025.36065,107284.1019,118414.3332,107196.5375,91123.69385,82061.97251,86238.79439,109569.5327,82738.20849,130483.4936,163551.1942,163189.5931,200984.1792,184697.0018
249.4,98623.3857,101058.074,119433.2644,107214.0504,90109.53889,78809.55208,84438.94795,108600.354,85212.1018,132371.5015,165107.8505,159330.5902,197411.3527,184975.6158
249.3,99331.8613,95382.90587,120091.9875,107250.2702,88148.09633,75493.05043,81984.55762,107322.3118,86152.42405,132783.8502,166432.262,155927.1211,193379.6091,184700.186
249.2,99866.00414,89387.3316,119512.2713,107155.3424,86119.38839,72906.31845,79524.79402,105281.6633,87465.09401,131344.8089,167140.5386,152487.8303,189793.6479,184602.8701
249.1,100061.432,84601.73813,118103.2805,107477.3406,83109.76016,69274.38595,77054.08487,104103.1261,87374.34545,129397.6951,166733.9612,149159.3881,186105.5946,183650.8062
249,99949.19032,80183.51712,116064.8211,107395.7465,79214.33842,66069.3299,74555.51432,102626.8699,86343.87167,126133.334,166060.7103,146444.4937,181756.629,182435.8502
248.9,99309.17416,75970.47542,113169.6236,107648.0912,75628.17822,64233.46265,70602.37968,100603.7342,85651.11786,122095.0231,164774.5087,144401.855,177169.8466,180938.6979
248.8,98027.15174,72622.53019,110270.0479,107943.223,72233.46564,62347.64389,67077.31555,98038.2963,85255.884,116784.4413,162495.2472,144174.3866,173130.7396,178680.5315
248.7,96711.69564,70234.41019,107345.994,107650.2803,68829.39959,61092.88584,63330.75329,94696.52038,83931.27344,110166.9608,159753.8844,144141.7489,168763.4652,175713.4914
248.6,94833.83728,68565.51233,103967.4012,106455.4243,66941.39172,60904.62238,58607.44995,90908.56404,82218.39437,103393.2574,156491.9115,143009.7801,162019.0163,172096.4846
248.5,92810.10459,67553.54648,100780.8531,104390.8945,65285.2305,61175.674,53863.05155,85830.42587,79465.88706,97173.99587,152695.3978,141384.4654,156182.252,168274.4976
248.4,90238.29836,67446.08108,98212.03203,102531.7431,63996.44174,61054.67592,49549.70881,80729.00353,77181.05325,90803.68577,147209.6871,139991.5944,150684.6007,165157.802
248.3,87922.618,67153.13836,95488.58018,98597.91242,63445.38305,60437.3469,46568.14099,75413.84445,74765.66888,84372.47861,141418.2971,137678.3022,145171.4267,161209.4436
248.2,85265.8345,67129.85419,93575.89507,94536.71535,63584.88906,59502.19891,42627.34497,69536.0841,72475.06378,77715.99213,135240.2307,137308.1436,140372.8976,156386.4362
248.1,82302.5756,67108.95814,92666.22036,89825.94964,63361.40083,58565.45884,39921.80402,64771.58569,69057.86307,71141.09975,128246.8202,135707.7051,137032.7137,151697.5616
248,79338.12264,66104.75368,91781.02388,85061.05321,63010.34719,57707.32772,37332.68392,60298.23891,64760.04311,65474.88703,121498.1921,133822.4834,133830.4438,147044.7078
247.9,76962.54027,64160.22697,91297.03156,80758.45701,63457.92068,56796.85697,34825.55594,55345.67605,60944.62339,59625.98313,114754.5393,131175.8494,130495.0362,142588.4759
247.8,73843.25753,61983.25658,90158.09733,76692.4837,63314.03645,55354.6315,33214.17197,49292.38888,57369.60775,54295.10226,107745.0091,127568.9922,127881.2389,138223.7886
247.7,71105.67597,59336.8216,90143.37059,74069.33289,63038.4076,52017.03479,32225.29128,43532.44245,55364.38299,49367.21664,101114.3939,123536.6516,124500.656,134450.957
247.6,68346.40232,56133.15862,91137.22653,71531.15935,62120.57348,48128.97642,29536.86519,36900.23519,52227.98539,45325.32354,95755.05457,119238.8316,120460.952,130057.8112
247.5,65733.60003,51951.16248,92086.90225,68638.34999,60453.86473,44387.38941,26663.75782,29968.51788,49810.80993,40078.6239,91711.96741,114947.579,115363.5099,125753.2249
247.4,62591.23213,48858.9451,93611.31885,66979.40263,58582.17568,39834.23962,24245.18929,23599.20283,46571.72317,36283.30419,87718.23473,109287.3366,110070.6399,122395.1302
247.3,59882.70603,46380.27555,94177.5023,64517.25091,56692.37672,35378.60473,23149.24122,16202.47875,43590.75238,32479.42705,85541.66236,103358.0326,104933.3958,120045.0211
247.2,57399.85727,43675.72965,93246.1355,62221.07353,54306.04781,30841.17673,21842.93958,10779.65526,41190.69178,29478.75427,84189.38941,96792.4937,100190.9875,118514.4352
