WL,Beta25 ME,Beta30 ME,Beta35 ME,Beta40 ME,Beta45 ME,Beta50 ME,Beta55 ME,Beta60 ME,Beta65 ME,Beta70 ME,Beta75 ME,Beta80 ME,Beta85 ME,Beta90 ME
250,-75640.43604,-43380.15702,-56234.01581,29191.7935,-46063.49031,-87623.12664,-152817.5021,-72561.00869,-131471.1959,-121228.8522,-110587.0325,-21103.99459,-1214.645988,-169817.7157
249.9,-76653.84794,-36457.7619,-54298.30755,26519.40203,-43316.49549,-83963.58365,-153774.6134,-73288.54056,-131086.2426,-124231.6868,-112619.8246,-25125.61251,-9227.220847,-171911.583
249.8,-79205.6804,-31295.40903,-48917.31712,23859.94181,-41643.78891,-82014.7452,-155332.1324,-79385.52421,-131619.6068,-127667.6187,-116548.5364,-30131.59677,-19780.78979,-173907.1729
249.7,-82801.36292,-23345.87499,-43866.37192,20493.83866,-39315.16968,-77895.24769,-156773.4691,-88782.16429,-132368.6244,-131817.3554,-119595.9341,-35413.71289,-31446.00832,-178192.5883
249.6,-87458.60139,-15431.59353,-38070.7858,16897.79803,-37498.03102,-75617.15979,-159288.2983,-99642.82051,-131539.4331,-137596.8272,-123227.6252,-41556.45326,-44361.73816,-183738.8997
249.5,-88143.16173,-6481.73799,-33129.25884,10354.42773,-35424.65471,-72594.23205,-162020.7703,-111037.0399,-132365.0435,-142529.6007,-125195.3631,-49083.8318,-59644.48308,-189596.3569
249.4,-88751.12929,2800.271557,-29588.08649,1720.954057,-36751.79857,-69253.79245,-164522.6683,-123014.558,-133146.2898,-147946.7986,-126491.0741,-57655.25936,-76026.98086,-195842.3483
249.3,-88638.32903,10011.94862,-27030.8826,-10195.79117,-38494.73177,-65263.20952,-168109.9952,-133689.0043,-131572.2585,-153334.5531,-125246.0934,-66349.83218,-93688.87635,-200887.922
249.2,-86287.82615,14212.37585,-25659.7725,-21308.70618,-41096.69768,-59742.95951,-173218.0369,-144480.2296,-131009.6498,-159791.4233,-122211.826,-75933.47799,-112311.663,-206418.517
249.1,-82071.44375,18365.49461,-24151.98906,-34726.76524,-44388.39642,-56452.65336,-178764.9452,-154686.1669,-130634.4447,-167031.9271,-119357.4023,-85058.36294,-129941.9267,-211485.5766
249,-80067.69724,18677.59523,-25322.36641,-48723.34841,-49049.41479,-53753.60363,-183082.5892,-164647.4051,-124974.1393,-172411.5249,-115712.1832,-94393.52986,-149169.0999,-214951.1509
248.9,-77131.90621,16251.59376,-27885.93646,-61025.34136,-53011.35003,-52005.49793,-187411.7718,-172923.2044,-117275.8694,-178393.321,-110718.3344,-104421.4138,-166615.5409,-217173.336
248.8,-72645.7581,9893.020931,-33118.31702,-71471.4019,-58951.56717,-52348.27545,-194865.3428,-180671.21,-110225.7533,-184646.8722,-106231.3905,-115938.9773,-184131.0149,-216994.2879
248.7,-68674.47257,2206.229949,-40045.48674,-81716.3318,-66450.29803,-56024.33066,-202716.2015,-188634.6699,-104392.965,-187877.6946,-100590.5815,-126852.9501,-198040.8593,-215006.8547
248.6,-68567.04374,-6163.509941,-50013.8869,-87853.30284,-75448.45675,-59930.36312,-209697.0856,-193140.5133,-101452.2004,-187441.6132,-96736.87082,-137340.3906,-207733.5254,-208270.6696
248.5,-69128.25988,-11306.08796,-59466.03187,-93426.67045,-82771.32264,-63225.24494,-216007.5343,-194420.3089,-98878.08644,-189939.5323,-91423.52076,-145550.9369,-215898.1161,-201657.8286
248.4,-66599.10684,-17835.73125,-66544.59666,-98918.27277,-88719.49747,-64174.00061,-220481.7459,-192434.0694,-100747.348,-187675.9672,-83989.04826,-157454.8464,-221398.8697,-194458.9037
248.3,-62818.40801,-25073.29069,-75670.8742,-104883.1588,-93096.62522,-63502.57046,-221838.5321,-188359.1349,-101337.0129,-186895.9145,-73696.77009,-167979.6881,-223394.2607,-187899.3793
248.2,-58156.59387,-30386.64075,-82428.74406,-109267.4484,-98097.63592,-62052.48028,-225511.0064,-185536.741,-102939.2939,-184420.078,-64692.24522,-177551.5963,-223115.7415,-178722.7694
248.1,-56614.39342,-38186.5702,-89823.826,-115863.1803,-102237.8234,-59653.0376,-227468.5983,-180642.9602,-107190.4912,-180421.3385,-59988.85215,-183668.0763,-221725.135,-168799.3302
248,-55498.92413,-50103.41092,-98008.31085,-121616.7896,-107270.6649,-62434.44943,-228013.7001,-175132.6572,-112725.4629,-176344.2157,-58175.49339,-188735.9316,-216654.0967,-154959.3146
