WL,Beta25ME,Beta30ME,Beta35ME,Beta40ME,Beta45 ME,Beta50ME,Beta55ME,Beta60ME,Beta65ME,Beta70ME,Beta75ME,Beta80ME,Beta85ME,Beta90ME
250,3716.619532,45172.03001,-79349.91354,-535.8151857,-8027.976969,-58656.93367,-178278.1334,-18472.74438,-19684.52162,-46433.92081,2501.0226,-102775.5644,-120758.5527,-61090.99231
249.9,7885.45473,38861.58131,-76406.96059,-6701.191205,-14711.58168,-49440.93317,-185850.6719,-18116.77699,-21779.60253,-48483.2251,-936.7534828,-107244.6035,-117822.5627,-63527.63719
249.8,11895.47432,31909.74275,-75283.33467,-11068.5111,-21850.22703,-38911.31688,-192870.9466,-19193.92999,-24587.67262,-51165.36474,-4864.814824,-109326.5343,-113944.979,-64918.04469
249.7,13996.24497,21979.14162,-75800.7835,-16892.32712,-31025.24543,-26675.17383,-202121.3641,-19453.43029,-27162.58238,-50862.37567,-8968.377064,-112367.7647,-105164.4631,-64978.72208
249.6,16526.53198,13675.58982,-77706.05359,-21182.77573,-40508.02751,-13617.69762,-211187.1632,-21641.33765,-31261.78778,-52345.09238,-13672.16802,-116535.0084,-98493.53103,-65941.40371
249.5,16878.63989,4447.792044,-79156.93954,-25339.67439,-50586.2438,-833.255758,-218307.3069,-24574.54243,-35158.86785,-53406.84726,-17686.6638,-121868.4516,-93666.59482,-67783.21121
249.4,15412.19666,-2409.688205,-80302.847,-27223.25977,-59870.68044,10343.64506,-227862.504,-29903.60893,-41772.7035,-53515.27079,-22199.7686,-127655.0853,-89076.00202,-70048.96469
249.3,13781.04912,-10382.49848,-80888.73197,-29914.55075,-68360.74061,24470.69457,-235292.9976,-38173.44001,-47880.82791,-57377.13807,-27610.60036,-134662.6277,-85437.5469,-71955.03055
249.2,12497.91129,-17980.44185,-82227.21554,-30725.04155,-74614.88865,40111.13769,-239918.4053,-48221.01919,-54703.35401,-62632.59593,-34348.37705,-140375.056,-82728.15217,-71204.42137
249.1,8604.889649,-25674.29528,-83829.09867,-31749.19634,-79794.15162,56109.47795,-241348.8002,-59383.27189,-62856.60492,-68703.12026,-40211.80248,-146727.0836,-79965.8388,-71764.84174
249,2102.004095,-32605.84174,-85996.97255,-29839.35058,-82242.73304,70918.54134,-241615.3829,-70530.00709,-72357.88864,-74839.49447,-45801.68229,-150692.9977,-78441.14527,-72721.35616
248.9,-6298.711105,-39491.03464,-88172.2073,-26820.40168,-82353.146,80108.67935,-238346.7614,-83213.77024,-81226.337,-81443.97984,-52030.16677,-152875.1954,-77146.03111,-72199.72953
248.8,-15651.34516,-42032.5221,-88980.90761,-23571.87341,-78315.21481,85612.41715,-234067.5133,-97352.19925,-87604.22713,-87258.66441,-60817.64563,-153090.8488,-76567.70594,-72151.38656
248.7,-26354.08101,-44835.4197,-86847.64969,-20828.65849,-71842.23028,87216.09076,-225727.8535,-115468.8768,-95427.83071,-93343.71152,-70568.20401,-152824.0672,-77364.27078,-71948.26651
248.6,-37108.10417,-41791.60302,-85768.18895,-16860.91414,-68288.32563,83275.2434,-213293.9618,-130659.9093,-102514.95,-98532.12583,-79170.8655,-148758.2841,-77117.98025,-71321.59837
248.5,-50208.05455,-34669.66881,-86642.73915,-14383.86408,-66836.44497,75604.42749,-200818.2922,-144415.7723,-111724.9822,-104748.4748,-89432.7055,-144043.9492,-77605.3888,-67544.67944
248.4,-60653.12038,-25327.9368,-92292.30164,-10004.82648,-65200.54271,62200.49333,-186742.729,-155769.2086,-119923.7909,-111284.3251,-102175.7534,-138176.1471,-80571.618,-65740.47202
248.3,-70516.08113,-12784.229,-98825.16779,-3822.874596,-59766.43469,46668.2748,-167840.2295,-163051.8881,-127938.1802,-113920.3102,-113689.3382,-130386.3637,-86118.32734,-64443.1695
248.2,-78197.04311,42.33531223,-104263.4536,-4317.266023,-57430.05671,30287.76645,-153426.0665,-169848.7506,-137773.6869,-117116.5166,-125143.0413,-125194.7663,-93612.48252,-65308.36942
248.1,-86366.80623,13462.94044,-110043.3233,-1746.874245,-57073.15429,14281.56797,-139061.8381,-176640.6396,-146996.0535,-121091.9799,-136202.043,-118908.9864,-100712.732,-68710.08323
248,-95583.20462,23518.95477,-115136.4442,237.5549712,-57558.57342,-4835.450945,-123802.7673,-182222.9596,-155409.9188,-123333.4625,-147293.4722,-115536.7161,-107368.3456,-71884.40604
247.9,-105861.9547,31478.8338,-119154.6801,-2876.048667,-55308.93427,-22558.85939,-112843.6346,-181013.9875,-165380.1095,-126129.1981,-157385.2166,-110524.5646,-113195.9614,-75586.32374
247.8,-112753.1159,34359.11993,-121307.2355,-8668.53128,-51056.14543,-40449.53849,-101154.1849,-181163.3931,-175151.5568,-130028.4666,-168016.6913,-107746.5348,-117329.7827,-78821.32394
247.7,-117943.9175,33401.41186,-121807.1774,-20875.60887,-50681.3382,-59891.56938,-89395.30435,-179281.9961,-186384.8319,-131057.7938,-180026.4381,-103686.72,-122130.4586,-85892.52786
247.6,-124423.2682,30966.95534,-122719.5266,-33453.93262,-53600.21914,-80625.13347,-80973.28244,-179360.5783,-199340.1512,-128802.9822,-192898.5995,-100685.4769,-125004.5775,-88657.42749
