WL,Beta25 ME,Beta30 ME,Beta35 ME,Beta40 ME,Beta45 ME,Beta50 ME,Beta55 ME,Beta60 ME,Beta65 ME,Beta70 ME,Beta75 ME,Beta 80 ME,Beta85ME,Beta90 ME
250,-38712.37461,2314.414753,-54963.96838,-43600.3861,-156686.5313,-112432.222,-198012.8084,22100.89429,-87984.4058,-96166.90123,-90629.14429,43661.85927,-31819.82084,41346.76811
249.9,-40556.76837,-4575.314037,-55507.27971,-44409.08642,-144947.545,-115426.3031,-208435.7916,15435.37343,-89610.36094,-97982.24941,-85129.38533,40201.25854,-24064.85235,40063.98837
249.8,-43040.16468,-9835.844924,-55851.05194,-45594.1855,-133053.7816,-119020.1952,-212987.5907,5520.727477,-90957.59797,-98613.89111,-78011.82785,36396.88557,-17771.95035,40898.75012
249.7,-42669.73418,-15785.85002,-57935.76796,-45512.02235,-121316.7847,-123330.6773,-213383.4858,-6353.658959,-92862.47018,-96420.9505,-71825.32019,29974.43238,-13337.58691,40794.10649
249.6,-43727.51021,-22827.43145,-58343.99749,-46707.46643,-109340.6592,-128073.4609,-213843.0424,-17980.89942,-92793.83509,-93931.38698,-64697.61666,22628.68812,-11550.46864,40040.91107
249.5,-46756.60517,-28976.14008,-53547.49944,-49387.81558,-97225.67197,-132230.7574,-212362.912,-31571.73984,-92473.73699,-92406.89239,-58557.06466,13270.14548,-13108.94257,41564.80883
249.4,-46399.5038,-37057.97072,-47926.98252,-53737.88719,-84426.92019,-135380.8093,-207838.9648,-47463.04915,-91504.29132,-93053.45475,-50985.32199,3343.005955,-14882.85108,41646.77305
249.3,-47715.10901,-47422.86282,-42589.56045,-57475.61449,-73665.13827,-134750.1623,-200016.5549,-62454.5426,-89919.11934,-93875.68314,-42319.99368,-7575.681726,-17973.0412,42967.15287
249.2,-51004.02256,-57086.28448,-35976.7195,-59519.74628,-65283.89952,-131709.5287,-194176.6047,-78037.29246,-89123.9471,-94881.93313,-31140.83089,-21114.53853,-21799.89464,43049.31603
249.1,-56472.94547,-66624.17357,-29542.13083,-62369.19637,-60477.6533,-128586.9309,-188364.5063,-91587.64813,-87405.88169,-96742.24226,-18201.94417,-36575.53573,-25473.76148,43092.4865
249,-65222.42636,-73656.38481,-24942.58563,-66912.8388,-59720.67797,-127566.9539,-179532.2655,-102357.9846,-86852.4243,-98628.41389,-4832.168398,-50341.14693,-31647.13895,43666.43494
248.9,-73694.97961,-78737.17136,-20868.04906,-71029.94901,-63901.44971,-126232.0513,-166647.7696,-112053.237,-86417.33756,-101551.8705,7803.570093,-62385.11175,-41800.55542,46274.56805
248.8,-78286.96501,-84366.64068,-17993.63172,-75224.44776,-73009.22562,-124209.2063,-150272.4337,-121178.7188,-85359.36259,-102937.3044,20979.65567,-74610.90981,-55161.71699,49223.68821
248.7,-80981.83695,-87807.34718,-16194.37797,-81051.86463,-86035.96524,-121734.1656,-128983.6218,-126879.4094,-87151.43453,-106702.2868,31993.09956,-86509.84572,-71000.30661,53359.10111
248.6,-77755.59022,-87919.15273,-14388.2806,-90385.24107,-100477.5823,-119341.6859,-107552.3671,-129795.903,-90058.17999,-109850.5482,40383.48965,-98918.07383,-89318.71158,58296.45029
