WL,BCoh25ME,BCoh30ME,BCoh35ME,BCoh40ME,BCoh45ME,BCoh50ME,BCoh55ME,BCoh60ME,BCoh65ME,BCoh70ME,BCoh75ME,BCoh80ME,BCoh85ME,BCoh90ME
250,19446.37566,-17435.14495,-95037.55092,3583.044444,59158.72524,-18116.04197,-125075.7833,46734.2724,-14068.81337,-122346.1288,-78700.23396,-121703.8866,-165255.0244,-44369.1066
249.9,18208.29221,-18013.3133,-81123.8082,2689.946808,54301.0482,-31727.3142,-125723.039,46323.90924,-17412.05732,-132454.0477,-80287.53972,-122507.0653,-176405.5214,-46712.9646
249.8,15268.64305,-17999.50084,-67332.648,1833.754282,49893.34176,-46026.35208,-123815.3642,45581.89644,-19929.86218,-139335.2137,-84432.53352,-120809.2097,-187577.3263,-47038.09656
249.7,12386.44975,-19347.18158,-55446.40512,-1548.445346,46923.03444,-61609.12224,-125230.9542,44520.768,-24664.43027,-146839.8209,-91759.90992,-117776.2324,-200729.5032,-44997.56136
249.6,8109.222252,-21960.79633,-44523.52548,-8321.473008,45269.54916,-75657.22944,-125567.8681,43855.2126,-29592.27264,-151165.3043,-100960.1166,-114052.8823,-214498.8542,-43455.62868
249.5,2232.947141,-26527.45896,-33838.29048,-13847.5632,45450.03876,-89499.77904,-124564.8974,42275.42724,-35712.37416,-156215.2529,-110784.2658,-109294.9759,-229134.5554,-41639.95344
249.4,-6306.206352,-32014.59348,-24537.31044,-21702.34525,47784.87228,-104435.0428,-122317.0499,37030.70028,-41618.39496,-160374.2848,-120504.8842,-106679.8822,-243009.192,-38358.80292
249.3,-14537.4847,-38953.41588,-14526.63025,-30639.363,50573.4366,-117151.2871,-117481.4327,27305.82036,-48341.88324,-161206.2917,-131297.9116,-103038.5045,-255430.386,-36914.63544
249.2,-23021.1226,-45710.49528,-6374.54172,-40054.9038,51544.8216,-128696.8559,-113261.4856,17254.63028,-51575.15388,-161508.6118,-144113.9266,-100811.2127,-266618.2344,-34686.09024
249.1,-29607.56412,-53421.41208,-279.1998636,-48000.2064,52234.94364,-138399.1746,-108466.2278,7152.552168,-55168.401,-162610.601,-155867.309,-98325.4698,-273328.938,-30268.10592
249,-35288.97564,-63606.79116,1522.111412,-55210.76592,51570.39096,-146067.4758,-104704.0224,-3321.00864,-57293.41536,-161152.1448,-169112.2375,-94145.88216,-275409.582,-23675.32219
248.9,-39309.63216,-73724.23596,536.5479516,-62120.76012,49947.99,-153416.6614,-101442.4249,-14568.86983,-61229.8434,-156093.1717,-182459.4434,-91935.38592,-274459.5048,-16316.73613
248.8,-41264.93616,-77853.93828,-3118.08318,-66430.45068,47473.7784,-156903.1188,-98654.36196,-26471.808,-65305.39884,-151339.7776,-195538.9231,-88950.28848,-273341.472,-8034.04332
248.7,-41821.94712,-78812.78928,-10338.94565,-68332.8612,43577.70984,-158820.8208,-95372.20872,-38706.74676,-67235.38416,-144961.977,-207577.5794,-85563.85236,-269611.3536,-683.6971116
248.6,-41060.38128,-83923.40244,-22496.90058,-67873.36476,40647.26064,-156223.2746,-92293.85832,-49020.97536,-69682.02096,-142777.8022,-219806.0005,-82702.59084,-262309.0452,17249.34094
248.5,-42198.46848,-88693.84284,-33420.15624,-66927.54912,36353.86428,-157122.2131,-92936.85252,-59338.4628,-70880.52204,-139182.8003,-227854.3326,-83113.70604,-256826.6736,37566.65412
248.4,-38467.59804,-93133.13496,-43360.37028,-66991.47252,30381.41328,-156768.253,-92994.25824,-72479.60976,-70237.27716,-133310.872,-237134.5062,-85777.43172,-254299.8192,53724.4842
248.3,-32429.71956,-96594.27372,-54380.0124,-65516.72208,21714.15228,-153154.7008,-92174.03328,-80880.39792,-64693.23828,-127953.0883,-241841.0232,-86761.35072,-251208.9348,67871.35932
248.2,-21703.9496,-103955.4919,-62602.81776,-58250.26092,13080.28186,-149571.2302,-88459.20636,-89144.3148,-59848.34592,-124136.736,-246196.3375,-90955.4778,-250447.6196,79162.48788
248.1,-15207.82808,-110661.1819,-67310.0868,-49194.19524,2428.349694,-148631.4308,-86284.30668,-96509.2932,-55044.06372,-122314.0417,-246842.3399,-98570.88552,-242766.2831,88989.89592
248,-12354.61339,-115171.6672,-73669.08636,-45214.39956,-9472.520364,-146316.6517,-81205.52988,-108256.91,-52291.59732,-121497.0756,-242708.1253,-107385.797,-238177.8364,97688.99328
247.9,-8039.232396,-116178.1474,-79330.69416,-38708.00016,-23193.01387,-144093.8722,-77852.18352,-117705.5406,-51259.0464,-128800.8881,-237493.2293,-114668.051,-237456.1286,105260.7827
247.8,-6743.467476,-112303.888,-87729.2262,-32104.08624,-37787.5032,-142045.8166,-77236.51344,-123481.7092,-49223.77548,-138591.1955,-231396.9424,-119223.9094,-233051.9317,108564.7451
247.7,-8137.298412,-102794.3422,-89946.4908,-22565.81251,-51259.79844,-137098.8974,-78648.09252,-127171.2174,-50055.53172,-149456.9201,-221100.0107,-125247.7498,-235004.7289,114045.3619
247.6,-12167.80666,-90536.34084,-94061.403,-13560.18365,-68243.61912,-134145.6364,-79407.15156,-128188.2262,-50323.25796,-163243.568,-212635.5498,-129566.4648,-240575.3399,117787.513
247.5,-17855.91133,-82733.42448,-97755.1728,-7527.945468,-83883.04296,-128290.5036,-83209.96716,-128416.0943,-49616.08968,-177369.1354,-204590.2259,-135512.8451,-248280.9924,116107.2049
247.4,-26156.20188,-75273.18768,-102897.121,-4958.650944,-96143.04972,-126199.0804,-85475.11164,-130592.2474,-48733.94676,-190759.7089,-197627.0875,-143539.6187,-259671.8916,112249.7411
247.3,-35940.99432,-67221.0954,-111139.2287,-6280.611924,-105751.1128,-125159.7611,-89203.72596,-133719.731,-53958.36864,-207065.4402,-189533.1317,-154234.6302,-273364.0332,101738.478
247.2,-51135.21048,-60438.948,-118897.0226,-11148.71725,-114706.4051,-123206.9639,-87589.09608,-143551.4006,-57341.7966,-223670.9848,-182145.5921,-164847.168,-284246.052,86230.41048
247.1,-67967.11908,-59358.5172,-125946.1442,-19759.12403,-119691.1769,-122701.593,-84233.24292,-157415.5087,-63769.2318,-245062.0105,-172987.7503,-178815.8096,-294040.1196,69080.63964
