WL,BCoh25ME,BCoh30ME,BCoh35ME,BCoh40ME,BCoh45ME,BCoh50ME,BCoh55ME,BCoh60ME,BCoh65ME,BCoh70ME,BCoh75ME,BCoh80ME,Bcoh 85ME,Bcoh90ME
250,-131991.2924,-149869.2887,-204512.2644,-120192.5369,-70836.15168,-69170.1324,-159963.1696,-25938.86232,-64800.78,38699.9784,-74234.11908,-189081.9077,-163718.8573,-143785.2851
249.9,-136780.5338,-155332.6086,-208189.74,-120172.9838,-66564.56448,-74219.07828,-150119.9687,-31120.41792,-76300.47432,29792.81664,-77600.5008,-193141.1689,-167591.8633,-160036.6188
249.8,-141917.9698,-161764.556,-210845.6946,-122761.7562,-63320.5146,-78590.18544,-139367.5514,-37856.69088,-92170.27308,18868.00676,-83203.1988,-195947.7822,-176174.8958,-176670.9916
249.7,-148180.9589,-169075.3876,-212310.4178,-122406.292,-63428.05632,-81809.91936,-129489.7567,-45584.65392,-111312.1979,3179.424576,-86780.90376,-201126.831,-184443.0743,-194221.8504
249.6,-156706.8364,-179519.4684,-214142.1366,-124655.6436,-63841.17696,-84644.6088,-119092.8037,-55579.5162,-130611.0484,-15724.88065,-90812.08884,-206680.8971,-196988.1042,-211684.2192
249.5,-162681.7942,-189528.3688,-216037.5281,-126955.3819,-66943.34196,-87276.7488,-112089.3059,-64889.01936,-151178.841,-35849.49612,-95001.70368,-213221.8903,-211755.663,-229747.7186
249.4,-170521.0591,-197870.9992,-218126.9459,-128567.2543,-69365.16144,-89505.294,-103206.4601,-72703.467,-172443.7747,-58465.84572,-102505.8095,-219760.3768,-227665.5706,-247554.5218
249.3,-178291.6378,-204852.1865,-219449.2829,-131379.6332,-74885.13504,-91776.20412,-96004.67436,-80888.41968,-194511.6365,-80740.01712,-110625.3347,-224825.1155,-246598.4282,-265046.4708
249.2,-184762.4406,-209950.2656,-222402.0426,-133235.9186,-79447.76172,-88521.12432,-88010.48916,-89113.48116,-215558.7293,-100957.8605,-118568.6318,-231035.7125,-269137.5684,-280002.0396
249.1,-192925.5841,-211780.731,-226796.9644,-134194.7696,-86090.28036,-82762.002,-80444.4654,-97568.91756,-237432.314,-119989.7368,-130855.4614,-234080.9731,-289001.4516,-293285.5728
249,-202717.3956,-207596.8818,-228833.238,-136869.7759,-94802.1624,-80075.21376,-75798.36228,-104219.7086,-259325.9532,-137253.3163,-146296.096,-238259.558,-307220.874,-302204.7672
248.9,-208863.0665,-199668.6254,-230433.0778,-142168.6498,-104985.536,-77333.5266,-76704.06912,-110126.2308,-279626.0196,-154502.1058,-161550.2246,-241556.2507,-325781.2212,-309988.3812
248.8,-214277.7545,-189813.8933,-232638.5604,-150591.2471,-116114.7253,-74382.77232,-80207.07144,-116232.0436,-297687.5136,-166773.1424,-180016.8175,-245926.1045,-342814.9272,-310361.8944
248.7,-219983.2313,-178020.402,-232207.1401,-162270.679,-125887.4851,-69927.93804,-88652.982,-120726.736,-313808.7444,-174477.5416,-202408.8085,-244348.8259,-359066.5116,-307313.6256
248.6,-225245.7565,-164155.5419,-230367.6503,-176423.5704,-138672.6665,-65368.31952,-102133.8004,-120113.5727,-327292.8216,-181843.5227,-222238.0979,-244326.014,-369753,-303931.9524
248.5,-230247.5746,-149453.9119,-224387.4282,-195126.5545,-152959.6717,-62490.51312,-120537.4726,-123868.2577,-336018.9924,-192564.8556,-241229.364,-245879.7287,-378133.2324,-297123.4836
248.4,-232440.7739,-135407.0581,-217244.3016,-214985.6748,-168011.251,-60954.59676,-139472.3357,-131554.3572,-340498.644,-200104.558,-259265.79,-246716.7492,-382344.6564,-287795.6808
248.3,-236681.5274,-122726.1596,-206464.0589,-237831.6473,-183420.8012,-60161.69592,-156217.509,-139400.1398,-346745.5896,-211634.8352,-274660.0488,-250905.612,-388080.2148,-279605.9652
248.2,-238638.3355,-108506.3366,-197261.3454,-258451.08,-196255.1159,-60543.73224,-169666.9924,-148132.8283,-349595.8212,-222722.4116,-291340.296,-253367.2896,-387142.6716,-273221.1456
248.1,-242899.3942,-95089.94304,-188275.4701,-276878.5668,-205663.1363,-62112.73836,-184120.9505,-156812.3726,-349929.2256,-231939.6646,-306263.2764,-253898.7312,-385583.442,-265846.14
248,-242194.9834,-82052.07624,-179206.8704,-294817.2276,-212265.0448,-66111.58572,-199207.6249,-166935.0817,-347417.412,-238882.7485,-318453.8448,-252389.6376,-383287.2132,-260767.3632
247.9,-241601.1224,-71112.9024,-169571.2326,-307323.6528,-216461.1773,-72632.0232,-215122.7968,-178924.6048,-345176.3328,-245204.6474,-330752.2056,-251800.5396,-372525.5208,-254903.958
247.8,-240341.7061,-60810.70644,-158664.1458,-321544.7292,-217537.3465,-78991.02276,-230547.1372,-189092.9376,-341533.9524,-248189.7449,-348111.7956,-248932.5097,-364631.6076,-251341.7952
247.7,-236310.521,-55506.56832,-149788.8204,-341140.3848,-213156.4628,-90541.60512,-243507.5438,-203236.3032,-334249.1916,-253958.8944,-360909.0096,-251023.4316,-355539.444,-247191.0358
247.6,-234198.2914,-52941.86124,-143416.7855,-360758.6016,-205307.672,-106182.7837,-255475.5084,-218116.1666,-326548.302,-266119.3812,-370838.4444,-252063.7536,-341764.578,-247798.6841
247.5,-231395.1876,-53655.04584,-138423.7412,-377040.2676,-198548.8379,-122471.7194,-265725.8136,-236269.4095,-322883.3604,-280588.6308,-378792.5208,-252204.1344,-331905.3336,-253580.3676
247.4,-231030.4482,-55190.46084,-131611.2616,-391268.8644,-192099.5935,-139824.5411,-274742.7732,-255899.1576,-316859.52,-298464.6216,-383535.3864,-254259.7104,-328019.7936,-258065.0328
247.3,-231153.2814,-63251.5776,-128899.656,-399902.2836,-186039.6552,-154757.298,-283817.3892,-277725.8652,-309860.5344,-320404.1352,-382379.7516,-261095.754,-324435.0696,-264966.2532
247.2,-234130.3571,-77560.392,-128685.5753,-407868.894,-176986.8484,-167479.5587,-286875.6852,-298858.1892,-302866.5624,-340393.3584,-382818.4416,-266911.53,-326653.5876,-270834.672
247.1,-235223.5726,-89482.7328,-129637.9086,-409924.47,-168558.2347,-179324.9407,-290039.2668,-317651.6688,-299101.3488,-362212.5456,-382703.1288,-275266.6944,-327781.6476,-281573.8032
247,-239087.5541,-101408.8338,-132811.2667,-408377.7744,-160275.5168,-193673.6132,-287281.7868,-335397.306,-295263.438,-385934.394,-383377.458,-286908.2736,-330967.7904,-293979.9564
246.9,-241437.4284,-117522.2935,-137048.0094,-405896.0424,-154857.57,-204508.5042,-283837.4436,-355341.4068,-294644.2584,-402885.3756,-383269.6656,-299620.2564,-339939.6276,-304626.336
246.8,-245227.71,-133561.3013,-146349.9922,-400441.2456,-151878.2382,-211584.9499,-279317.6832,-369409.5684,-295917.7128,-419668.4016,-386037.1728,-312986.514,-349106.9952,-315282.7428
246.7,-252229.2024,-150165.3418,-154473.7789,-394906.2312,-155071.4,-222456.1895,-274384.3008,-378411.4872,-300968.9148,-434325.6612,-395748.516,-325899.0408,-358986.294,-325442.8032
246.6,-255638.4504,-165195.1118,-164043.7386,-390780.0384,-160603.4063,-237622.5802,-272769.9216,-386663.8728,-302550.7056,-446608.9812,-407044.1568,-342784.8456,-371091.6312,-332830.3428
246.5,-256821.66,-181180.4741,-179629.5169,-385578.4284,-169426.8409,-251261.5776,-275925.9828,-393121.3896,-305110.1484,-455219.8392,-417830.9172,-361194.7848,-386909.5392,-345793.0056
246.4,-262494.5484,-199277.5646,-194301.5666,-378915.354,-178913.3242,-266019.1092,-282265.68,-400027.6236,-307235.9148,-460125.6468,-430615.5972,-384909.1128,-403539.6504,-359344.7664
246.3,-268009.5084,-214401.3397,-210644.3986,-373463.064,-189744.9563,-281929.7688,-294408.6192,-404913.3768,-309998.4084,-465968.9976,-443084.4204,-408370.254,-421458.2568,-376473.7308
246.2,-273782.6688,-228246.6468,-230263.8688,-370244.3328,-208235.3638,-296845.2288,-311316.9852,-410353.1328,-312633.0552,-471957.7428,-454372.5408,-435090.2352,-440895.984,-396264.9168
246.1,-279706.2372,-246487.1263,-249254.3828,-368644.9944,-231116.6821,-314365.254,-329152.8672,-420901.7472,-315829.2252,-480034.6524,-467342.724,-463206.504,-461025.588,-416321.8236
246,-284123.2188,-265537.8036,-268102.26,-365293.4028,-253166.7456,-329802.1284,-346078.7808,-428168.9604,-319541.796,-483438.8868,-482799.6528,-484238.556,-480804.24,-439650.1044
245.9,-292739.0904,-284719.8372,-287028.6,-362390.5284,-278726.0784,-345780.4716,-367060.6968,-434476.0692,-324989.0724,-483641.9376,-502934.2704,-503315.304,-503761.5144,-455508.1212
245.8,-296937.9804,-305729.328,-307631.9892,-360778.656,-305107.6416,-365491.44,-389321.0808,-435255.684,-325224.7116,-481568.814,-524465.1756,-520940.6148,-524101.6896,-470887.3392
245.7,-303267.6504,-330611.8248,-329990.1384,-361360.2336,-333943.362,-386794.2264,-410663.976,-437271.1512,-329037.5544,-479428.0068,-547362.2868,-532872.9828,-544020.7224,-485549.6124
245.6,-305443.5528,-354982.9344,-348969.1212,-363004.6944,-366198.3576,-410959.7784,-433059.7272,-441808.4592,-335946.2952,-477913.8996,-575160.192,-544093.4196,-561941.8356,-504310.5036
245.5,-310399.4964,-377604.2976,-369680.3028,-366268.548,-399468.6072,-437870.2764,-455884.1412,-448055.4048,-341508.8844,-480613.7232,-601198.3236,-557665.2348,-577075.3872,-521015.8188
245.4,-317987.58,-400869.9084,-389824.9476,-374751.5592,-436273.4448,-464768.2404,-476690.5812,-454202.0784,-344988.3228,-486213.9144,-627544.7916,-570254.3844,-595763.5812,-534141.4236
245.3,-325623.2928,-425346.3036,-408766.3284,-381422.154,-470258.1324,-495649.5096,-497121.0012,-463524.8676,-350992.1088,-495426.4044,-648459.024,-584432.8452,-613343.7696,-547881.1944
245.2,-333291.594,-447664.344,-429211.7892,-389772.3048,-499276.8492,-528796.926,-515581.0764,-472524.2796,-357549.8976,-510076.1436,-672286.158,-592409.4828,-627970.9476,-569479.7832
245.1,-344938.1868,-468969.6372,-448754.802,-398009.6496,-524322.288,-560530.5072,-532817.8332,-484200.954,-366203.3712,-530388.744,-693852.1584,-602820.2232,-644064.6036,-590842.7328
